"sep=;"
WORLD;Cases;New cases;Deaths;New deaths;Death rate;Serious & Critical;Recovered;Links;;;Cases;Deaths;;;;
United States;241,801;26,372;5,997;929;2.48%;4,806;9,246;;;215,429;5,068;;;;
Italy;115,242;4,668;13,915;760;12.07%;4,053;18,278;;;110,574;13,155;;;;
Spain;112,065;7,947;10,348;961;9.23%;6,092;26,743;;;104,118;9,387;;;;
Germany;85,122;6,864;1,107;179;1.30%;2,150;26,252;;;78,258;928;;;;
China;83,185;90;3,318;6;3.99%;466;76,412;;Daily;83,095;3,312;;;;
France;59,105;2,116;5,387;1,355;9.11%;6,489;9,444;;Daily;56,989;4,032;;;;
Iran;50,468;2,875;3,160;124;6.26%;3,956;16,711;;Daily;47,593;3,036;;;;
United Kingdom;33,718;4,244;2,921;569;8.66%;20;135;;;29,474;2,352;;;;
Turkey;18,135;2,456;356;79;1.96%;1,101;415;;Daily;15,679;277;;;;
Switzerland;17,785;0;488;0;2.74%;N/A;4,013;;;17,785;488;;;;
Belgium;15,348;1,384;1,011;183;6.59%;1,144;2,495;;Daily;13,964;828;;;;
Netherlands;14,697;1,083;1,339;166;9.11%;1,144;32;;Daily;13,614;1,173;;;;
Austria;10,967;601;158;30;1.44%;227;1,749;;Throughout;10,366;128;;;;
Canada;10,132;401;127;16;1.25%;65;1,682;;;9,731;111;;;;
South Korea;9,976;89;169;4;1.69%;N/A;5,828;;Daily;9,887;165;;;;
Portugal;9,034;783;209;22;2.31%;240;68;;Daily;8,251;187;;;;
Brazil;7,910;1,074;299;58;3.78%;148;1;;;6,836;241;;;;
Israel;6,857;765;36;10;0.53%;108;241;;Several;6,092;26;;;;
Sweden;5,466;519;282;43;5.16%;429;N/A;;;4,947;239;;;;
Australia;5,116;254;24;4;0.47%;78;520;;;4,862;20;;;;
Norway;4,880;42;44;1;0.90%;105;N/A;;;4,838;43;;;;
Ireland;3,849;402;98;13;2.55%;25;N/A;;Daily;3,447;85;;;;
Czech Republic;3,805;216;44;5;1.16%;2;67;;Numerous;3,589;39;;;;
Russia;3,548;771;30;6;0.85%;N/A;235;;Daily;2,777;24;;;;
Chile;3,404;373;18;2;0.53%;142;335;;Daily;3,031;16;;;;
Denmark;3,280;188;104;0;3.17%;146;3;;;3,092;104;;;;
Ecuador;3,163;405;120;22;3.79%;122;65;;;2,758;98;;;;
Malaysia;3,116;208;50;5;1.60%;105;767;;Daily;2,908;45;;;;
Poland;2,946;392;57;14;1.93%;N/A;N/A;;Several;2,554;43;;;;
Romania;2,738;278;107;15;3.91%;36;267;;Daily + deaths;2,460;92;;;;
Philippines;2,633;322;107;11;4.06%;N/A;51;;;2,311;96;;;;
Japan;2,524;29;71;2;2.81%;60;472;;;2,495;69;;;;
India;2,511;677;69;31;2.75%;N/A;188;;;1,834;38;;;;
Luxembourg;2,487;168;30;1;1.21%;N/A;N/A;;Daily;2,319;29;;;;
Pakistan;2,419;301;34;6;1.41%;11;107;;Any time;2,118;28;;;;
Saudi Arabia;1,885;165;21;5;1.11%;N/A;328;;Daily;1,720;16;;;;
Thailand;1,875;104;15;3;0.80%;12;342;;Daily;1,771;12;;;;
Indonesia;1,677;0;157;0;9.36%;N/A;103;;Daily;1,677;157;;;;
Finland;1,518;72;19;2;1.25%;65;10;;;1,446;17;;;;
South Africa;1,380;0;5;0;0.36%;4;31;;;1,380;5;;;;
Mexico;1,378;163;37;8;2.69%;17;35;;Daily;1,215;29;;;;
Peru;1,323;0;47;0;3.55%;56;447;;;1,323;47;;;;
Iceland;1,319;99;2;0;0.15%;11;284;;;1,220;2;;;;
Greece;1,314;0;49;0;3.73%;85;52;;Daily;1,314;49;;;;
Dominican Republic;1,284;0;57;0;4.44%;N/A;9;;;1,284;57;;;;
Panama;1,317;0;32;0;2.43%;N/A;9;;;1,317;32;;;;
Serbia;1,171;111;31;3;2.65%;49;N/A;;;1,060;28;;;;
Argentina;1,133;79;34;7;3.00%;N/A;63;;;1,054;27;;;;
Colombia;1,065;0;17;0;1.60%;N/A;39;;;1,065;17;;;;
Singapore;1,049;49;4;0;0.38%;23;266;;;1,000;4;;;;
United Arab Emirates;1,024;210;8;0;0.78%;0;96;;;814;8;;;;
Croatia;1,011;48;7;1;0.69%;35;88;;;963;6;;;;
Algeria;986;139;83;25;8.42%;N/A;61;;;847;58;;;;
Qatar;949;114;3;1;0.32%;N/A;62;;;835;2;;;;
Slovenia;897;56;16;1;1.78%;29;6;;;841;15;;;;
Egypt;865;86;58;6;6.71%;N/A;201;;Daily;779;52;;;;
Estonia;858;79;11;6;1.28%;16;33;;Daily;779;5;;;;
Ukraine;804;10;20;0;2.49%;1;13;;2 times/day;794;20;;;;
Hong Kong;803;37;4;0;0.50%;N/A;154;;Daily;766;4;;;;
New Zealand;797;0;1;0;0.13%;2;74;;;797;1;;;;
Iraq;772;44;54;2;6.99%;N/A;202;;Daily;728;52;;;;
Diamond Princess;712;0;11;0;1.54%;10;619;;;712;11;;;;
Morocco;708;54;44;5;6.21%;N/A;31;;At least 3;654;39;;;;
Lithuania;649;68;8;0;1.23%;N/A;7;;;581;8;;;;
Bahrain;635;66;4;0;0.63%;3;341;;;569;4;;;;
Hungary;585;60;21;1;3.59%;23;42;;Daily;525;20;;;;
Armenia;571;0;3;0;0.53%;0;30;;;571;3;;;;
Bosnia;518;59;15;2;2.90%;N/A;20;;;459;13;;;;
Lebanon;494;15;16;4;3.24%;2;35;;;479;12;;;;
Latvia;458;12;0;0;0.00%;3;N/A;;;446;0;;;;
Bulgaria;457;45;10;1;2.19%;13;25;;;412;9;;;;
Tunisia;455;32;12;0;2.64%;N/A;5;;;423;12;;;;
Andorra;428;38;15;1;3.50%;N/A;14;;;390;14;;;;
Slovakia;426;26;0;0;0.00%;N/A;3;;;400;0;;;;
Moldova;423;0;5;0;1.18%;N/A;23;;;423;5;;;;
Kazakhstan;423;37;3;0;0.71%;N/A;26;;Daily;386;3;;;;
Costa Rica;375;0;2;0;0.53%;N/A;2;;;375;2;;;;
North Macedonia;354;0;9;0;2.54%;0;12;;Daily;354;9;;;;
Uruguay;350;0;4;2;1.14%;15;62;;Daily;350;2;;;;
Taiwan;339;10;5;0;1.47%;0;50;;Daily;329;5;;;;
Cyprus;320;0;9;0;2.81%;6;1;;;320;9;;;;
Kuwait;317;0;0;0;0.00%;14;80;;;317;0;;;;
Belarus;304;87;4;2;1.32%;N/A;58;;;217;2;;;;
Jordan;299;21;5;0;1.67%;N/A;45;;Daily;278;5;;;;
Azerbaijan;298;0;5;0;1.68%;23;26;;;298;5;;;;
Burkina Faso;282;21;16;2;5.67%;N/A;46;;;261;14;;;;
Albania;277;18;16;1;5.78%;8;76;;;259;15;;;;
San Marino;245;9;30;2;12.24%;16;21;;;236;28;;;;
Afghanistan;239;0;5;0;2.09%;N/A;10;;;239;5;;;;
Cameroon;233;0;6;0;2.58%;N/A;5;;;233;6;;;;
Oman;231;21;1;0;0.43%;0;57;;;210;1;;;;
Vietnam;227;5;0;0;0.00%;N/A;63;;;222;0;;;;
Honduras;219;47;14;4;6.39%;N/A;3;;;172;10;;;;
Cuba;212;0;6;0;2.83%;8;12;;;212;6;;;;
Ghana;195;0;5;0;2.56%;0;3;;;195;5;;;;
Malta;195;7;0;0;0.00%;2;2;;Daily;188;0;;;;
Senegal;195;5;1;0;0.51%;N/A;50;;;190;1;;;;
Ivory Coast;190;11;1;0;0.53%;N/A;9;;;179;1;;;;
Uzbekistan;190;9;2;0;1.05%;5;8;;Several;181;2;;;;
Nigeria;174;0;2;0;1.15%;N/A;9;;;174;2;;;;
Mauritius;161;0;7;1;4.35%;N/A;N/A;;;161;6;;;;
Sri Lanka;150;4;3;0;2.00%;N/A;21;;;146;3;;;;
Venezuela;144;0;3;0;2.08%;2;43;;Daily;144;3;;;;
Montenegro;140;17;2;0;1.43%;N/A;N/A;;Daily;123;2;;;;
Palestine;134;0;1;0;0.75%;0;18;;Daily;134;1;;;;
Brunei;131;0;1;0;0.76%;N/A;52;;Daily;131;1;;;;
Georgia;130;13;0;0;0.00%;1;26;;Daily;117;0;;;;
Kosovo;125;0;1;0;0.80%;N/A;10;;;125;1;;;;
Bolivia;123;6;8;1;6.50%;N/A;1;;Daily;117;7;;;;
Kyrgyzstan;111;0;0;0;0.00%;N/A;3;;;111;0;;;;
Kenya;110;29;3;2;2.73%;0;4;;;81;1;;;;
Cambodia;110;1;0;0;0.00%;N/A;34;;;109;0;;;;
DR Congo;109;0;8;0;7.34%;N/A;3;;;109;8;;;;
Guernsey;91;0;1;0;1.10%;0;N/A;;;91;1;;;;
Trinidad and Tobago;87;0;5;0;5.75%;2;1;;;87;5;;;;
Rwanda;82;0;0;0;0.00%;0;0;;;82;0;;;;
Jersey;81;0;2;0;2.47%;N/A;N/A;;;81;2;;;;
Gibraltar;81;0;0;0;0.00%;N/A;34;;;81;0;;;;
Isle of Man;75;7;1;0;1.33%;N/A;N/A;;Daily;68;1;;;;
Niger;74;54;5;2;6.76%;N/A;N/A;;;20;3;;;;
Northern Cyprus;70;0;2;0;2.86%;N/A;3;;;70;2;;;;
Paraguay;69;0;3;0;4.35%;N/A;N/A;;;69;3;;;;
Liechtenstein;68;0;0;0;0.00%;N/A;N/A;;;68;0;;;;
Aruba;55;0;0;0;0.00%;N/A;1;;;55;0;;;;
Bangladesh;54;0;6;0;11.11%;N/A;11;;;54;6;;;;
Monaco;52;0;1;0;1.92%;2;2;;;52;1;;;;
Madagascar;50;0;0;0;0.00%;1;0;;;50;0;;;;
Guatemala;46;7;1;0;2.17%;N/A;12;;;39;1;;;;
Uganda;44;0;0;0;0.00%;N/A;N/A;;;44;0;;;;
Jamaica;44;6;2;1;4.55%;N/A;2;;;38;1;;;;
Macau;41;0;0;0;0.00%;N/A;10;;;41;0;;;;
Togo;39;3;2;0;5.13%;N/A;17;;;36;2;;;;
French Polynesia;37;0;0;0;0.00%;N/A;N/A;;;37;0;;;;
Zambia;36;0;0;0;0.00%;N/A;0;;;36;0;;;;
Barbados;34;0;0;0;0.00%;2;0;;;34;0;;;;
El Salvador;32;0;1;0;3.13%;5;N/A;;;32;1;;;;
Bermuda;32;0;0;0;0.00%;N/A;10;;;32;0;;;;
Mali;31;0;3;0;9.68%;N/A;0;;;31;3;;;;
Djibouti;31;0;0;0;0.00%;0;0;;;31;0;;;;
Guinea;31;1;1;0;3.23%;N/A;1;;;30;1;;;;
Ethiopia;26;0;0;0;0.00%;2;2;;;26;0;;;;
Cayman Islands;22;8;1;0;4.55%;N/A;N/A;;;14;1;;;;
Bahamas;21;0;1;0;4.76%;0;1;;;21;1;;;;
Congo Republic;19;0;0;0;0.00%;N/A;N/A;;;19;0;;;;
Guyana;19;7;4;2;21.05%;0;N/A;;;12;2;;;;
Tanzania;19;0;1;0;5.26%;N/A;1;;;19;1;;;;
Maldives;19;0;0;0;0.00%;N/A;13;;;19;0;;;;
Gabon;18;0;1;0;5.56%;N/A;N/A;;;18;1;;;;
Syria;16;6;2;0;12.50%;0;0;;;10;2;;;;
Sint Maarten;16;0;1;0;6.25%;N/A;0;;;16;1;;;;
Haiti;16;0;0;0;0.00%;N/A;N/A;;;16;0;;;;
New Caledonia;16;0;0;0;0.00%;N/A;1;;;16;0;;;;
Myanmar;15;0;1;0;6.67%;N/A;0;;;15;1;;;;
Eritrea;15;0;0;0;0.00%;N/A;0;;;15;0;;;;
Equatorial Guinea;15;0;0;0;0.00%;N/A;N/A;;;15;0;;;;
Mongolia;14;0;0;0;0.00%;N/A;2;;;14;0;;;;
Benin;13;0;0;0;0.00%;N/A;1;;;13;0;;;;
Saint Lucia;13;0;0;0;0.00%;0;1;;;13;0;;;;
Curaçao;11;0;1;0;9.09%;N/A;3;;Daily;11;1;;;;
Namibia;11;0;0;0;0.00%;0;0;;;11;0;;;;
Greenland;10;0;0;0;0.00%;N/A;2;;;10;0;;;;
Seychelles;10;0;0;0;0.00%;1;0;;;10;0;;;;
Libya;10;0;0;0;0.00%;N/A;0;;;10;0;;;;
Suriname;10;0;0;0;0.00%;N/A;N/A;;;10;0;;;;
Grenada;10;1;0;0;0.00%;1;0;;;9;0;;;;
Eswatini;9;0;0;0;0.00%;0;1;;;9;0;;;;
Laos;9;0;0;0;0.00%;N/A;N/A;;;9;0;;;;
